ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,publication_date,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url
20949389,ACSR,0.963491698,ACSR,0.963491698,AIDS and Cancer Specimen Resource,0.931551437,1,2011-01-01,http://acsr.ucsf.edu,302,US,"(37.7749,-122.4194)",http://web.archive.org/web/20200729012332/https://acsr.ucsf.edu/
21216747,Rice TOGO Browser,0.827372536,Rice TOGO Browser,0.827372536,,0,1,2011-01-06,http://agri-trait.dna.affrc.go.jp,"HTTPConnectionPool(host='agri-trait.dna.affrc.go.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7bb29f4ccfd0>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,http://web.archive.org/web/20150908030848/http://agri-trait.dna.affrc.go.jp/
21383924,TAMI,0.986702323,TAMI,0.986702323,The Antimicrobial Index,0.871445251,1,2011-01-22,http://antibiotics.toku-e.com,301,US,"(37.7621,-122.3971)",http://web.archive.org/web/20240604033540/https://antibiotics.toku-e.com/
21389154,16SpathDB,0.996311396,16SpathDB,0.996311396,,0,1,2011-03-09,http://147.8.74.24/16SpathDB,"HTTPConnectionPool(host='147.8.74.24', port=80): Max retries exceeded with url: /16SpathDB (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7bb29f8747f0>, 'Connection to 147.8.74.24 timed out. (connect timeout=5)'))",,,http://web.archive.org/web/20140722082245/http://147.8.74.24/16SpathDB/
21498548,Allie,0.968772352,Allie,0.968772352,,0,1,2011-04-15,http://allie.dbcls.jp,302,JP,"(35.1167,138.9167)",http://web.archive.org/web/20230610131226/https://allie.dbcls.jp/
21729256,RASOnD,0.995079184,RASOnD,0.995079184,RAS Oncogene Database,0.942642281,1,2011-07-05,"http://202.141.47.181/rasond/, http://www.aiims.edu/RAS.html","HTTPConnectionPool(host='202.141.47.181', port=80): Max retries exceeded with url: /rasond/ (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7bb29f5ddc10>, 'Connection to 202.141.47.181 timed out. (connect timeout=5)')), 301",", IN",", (28.6519,77.2315)","no_wayback, http://web.archive.org/web/20140722084739/http://www.aiims.edu/RAS.html"
21781283,DbMDR,0.997138441,DbMDR,0.997138441,,0,1,2011-09-06,http://203.190.147.116/dbmdr,"HTTPConnectionPool(host='203.190.147.116', port=80): Max retries exceeded with url: /dbmdr (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7bb29f4cc340>, 'Connection to 203.190.147.116 timed out. (connect timeout=5)'))",,,http://web.archive.org/web/20140429114127/http://203.190.147.116:80/dbmdr/
21876203,UPB,0.950364868,UPB,0.950364868,Urinary Protein Biomarker,0.927442985,1,2011-08-29,http://122.70.220.102/biomarker,"HTTPConnectionPool(host='122.70.220.102', port=80): Max retries exceeded with url: /biomarker (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7bb29f5d15b0>, 'Connection to 122.70.220.102 timed out. (connect timeout=5)'))",,,no_wayback
21930248,HCVpro,0.997242883,HCVpro,0.997242883,hepatitis C virus protein interaction database,0.859147181,1,2011-09-09,"http://apps.sanbi.ac.za/hcvpro/, http://cbrc.kaust.edu.sa/hcvpro","HTTPConnectionPool(host='apps.sanbi.ac.za', port=80): Max retries exceeded with url: /hcvpro/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7bb29f5f8df0>: Failed to establish a new connection: [Errno -2] Name or service not known')), 302",", US",", (37.5331,-122.2486)","http://web.archive.org/web/20110209185158/http://apps.sanbi.ac.za:80/hcvpro/, http://web.archive.org/web/20220805210210/https://www.cbrc.kaust.edu.sa/hcvpro/"
21938212,RiDs db,0.977813244,RiDs db,0.977813244,Repeats in diseases database,0.806841683,1,2011-09-06,http://115.111.90.196/ridsdb/index.php,"HTTPConnectionPool(host='115.111.90.196', port=80): Max retries exceeded with url: /ridsdb/index.php (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7bb29f576f40>, 'Connection to 115.111.90.196 timed out. (connect timeout=5)'))",,,http://web.archive.org/web/20140722092852/http://115.111.90.196/ridsdb/index.php
