ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations
20949389,ACSR,0.963491698,ACSR,0.963491698,AIDS and Cancer Specimen Resource,0.931551437,1,http://acsr.ucsf.edu,302,US,"(37.7749,-122.4194)",None,2011-01-01,"Department of Pathology, College of Medicine and Public Health, The Ohio State University, Columbus, OH, USA.","Ayers LW, Silver S, Orenstein JM, McGrath MS, Garcia DL",,NCI NIH HHS,6.0
21148158,AID-Net,0.68992514,AID-Net,0.68992514,,0,1,http://www.aid-register.uk-essen.de,"HTTPConnectionPool(host='www.aid-register.uk-essen.de', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b1998c10>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,None,2011-01-01,"Department of Paediatric Rheumatology, Children's Hospital, University Duisburg-Essen, Essen, Germany. elke.lainka@uni-due.de","Lainka E, Bielak M, Hilger V, Basu O, Neudorf U, Wittkowski H, Holzinger D, Roth J, Niehues T, Foell D",,,27.0
21389154,16SpathDB,0.996311396,16SpathDB,0.996311396,,0,1,http://147.8.74.24/16SpathDB,"HTTPConnectionPool(host='147.8.74.24', port=80): Pool is closed.",,,None,2011-03-09,"State Key Laboratory of Emerging Infectious Diseases, Research Centre of Infection and Immunology, Department ofMicrobiology, and Carol Yu Centre for Infection, The University of Hong Kong, Hong Kong. pcywoo@hkucc.hku.hk","Woo PC, Teng JL, Yeung JM, Tse H, Lau SK, Yuen KY",,,28.0
21498548,Allie,0.968772352,Allie,0.968772352,,0,1,http://allie.dbcls.jp,"HTTPConnectionPool(host='allie.dbcls.jp', port=80): Pool is closed.",,,None,2011-04-15,"Database Center for Life Science, Bunkyo-ku, Tokyo, Japan. yy@dbcls.rois.ac.jp","Yamamoto Y, Yamaguchi A, Bono H, Takagi T",,,19.0
21880703,AluHunter,0.993216336,AluHunter,0.993216336,,0,1,http://www.aluhunter.com,404,,,None,2011-08-31,"Department of Anthropology, New York University, New York, NY 10003, USA. cmb433@nyu.edu",Bergey CM,,,1.0
21904438,Antagomir,0.96470964,Antagomir,0.96470964,,0,1,http://bioinfopresidencycollegekolkata.edu.in/antagomirs.html,"HTTPConnectionPool(host='bioinfopresidencycollegekolkata.edu.in', port=80): Max retries exceeded with url: /antagomirs.html (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b1927130>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,None,2011-08-20,"DBT-Centre for Bioinformatics, Presidency University, Kolkata - 700073.","Ganguli S, Mitra S, Datta A",,,4.0
22039151,ALFRED,0.992198706,ALFRED,0.992198706,,0,1,http://alfred.med.yale.edu,301,US,"(39.0437,-77.4875)",None,2011-10-28,"Department of Genetics and Center for Medical Informatics, Yale University School of Medicine, New Haven, CT 06520-8005, USA.","Rajeevan H, Soundararajan U, Kidd JR, Pakstis AJ, Kidd KK",,,72.0
22067098,ApoptoProteomics,0.990143538,ApoptoProteomics,0.990143538,,0,1,http://apoptoproteomics.uio.no,"HTTPConnectionPool(host='apoptoproteomics.uio.no', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ed4b19acd00>: Failed to establish a new connection: [Errno 113] No route to host'))",,,None,2011-11-08,"Biotechnology Centre of Oslo, University of Oslo, 0317 Oslo, Norway.","Arntzen MØ, Thiede B",,,29.0
22080511,ADHDgene,0.933751583,ADHDgene,0.933751583,,0,1,http://adhd.psych.ac.cn,"HTTPConnectionPool(host='adhd.psych.ac.cn', port=80): Pool is closed.",,,None,2011-11-10,"Key Laboratory of Mental Health, Institute of Psychology, Chinese Academy of Sciences, Beijing 100101, China.","Zhang L, Chang S, Li Z, Zhang K, Du Y, Ott J, Wang J",,,55.0
22084200,AH-DB,0.99563925,AH-DB,0.99563925,Apo-Holo DataBase,0.77852336,1,"http://ahdb.ee.ncku.edu.tw/, http://ahdb.csbb.ntu.edu.tw","200, HTTPConnectionPool(host='ahdb.csbb.ntu.edu.tw', port=80): Pool is closed.","TW, ","(22.9908,120.2133), ","None, None",2011-11-13,"Department of Electrical Engineering, National Cheng Kung University, Tainan 70101, Taiwan. darby@mail.ncku.edu.tw","Chang DT, Yao TJ, Fan CY, Chiang CY, Bai YH",,,16.0
