"step_name","obs_2024","obs_2026","diff_obs","pub_year_range"
"01 query results",4676,4597,-79,"2024: [2022-2023] | 2026: [2024-2025]"
"02 class pred",4546,4455,-91,"2024: [2022-2023] | 2026: [2024-2025]"
"03 class pred pos",932,916,-16,"2024: [2022-2023] | 2026: [2024-2025]"
"04 ner",879,876,-3,"2024: [2022-2023] | 2026: [2024-2025]"
"05 init dedup",3904,4557,653,"2024: [2011-2023] | 2026: [2011-2025]"
"06 for man review",3904,4557,653,"2024: [2011-2023] | 2026: [2011-2025]"
"07 man review",3904,4557,653,"2024: [N/A] | 2026: [N/A]"
"08 proc man review",3773,4436,663,"2024: [2011-2023] | 2026: [2011-2025]"
"09 proc names",871,871,0,"2024: [2022-2023] | 2026: [2024-2025]"
"10 url extract",871,871,0,"2024: [2022-2023] | 2026: [2024-2025]"
"11 url check",3773,4436,663,"2024: [2011-2023] | 2026: [2011-2025]"
"12 epmc meta",3773,4436,663,"2024: [2011-2023] | 2026: [2011-2025]"
"13 proc countries",3773,4436,663,"2024: [2011-2023] | 2026: [2011-2025]"
