ID,publication_date,extracted_url,best_common,best_common_prob,best_full,best_full_prob,best_name,best_name_prob,article_count
27580923,2016-08-31,http://101.200.211.232/skeletongenetics,SkeletonGenetics,0.990358194,,0,SkeletonGenetics,0.990358194,1
30304689,2018-10-01,http://10kimmunomes.org,10KIP,0.928437392,"10,000 Immunomes Project",0.844234129,10KIP,0.928437392,1
37221044,2023-05-01,http://110.40.139.2:18095,BLAB2CancerKD,0.785074251038688,actic acid bacteria to Cancer Knowledge graph Database,0.761443098386129,BLAB2CancerKD,0.785074251,1
21938212,2011-09-06,http://115.111.90.196/ridsdb/index.php,RiDs db,0.977813244,Repeats in diseases database,0.806841683,RiDs db,0.977813244,1
38161244,2023-12-31,http://120.55.161.230:88,BioKinVis,0.754120469093323,,0,BioKinVis,0.7541204691,1
34992626,2021-12-21,"http://120.78.174.209/, http://db.cngb.org/cottonGVD",CottonGVD,0.994645226,cotton genomic variation database,0.905625567,CottonGVD,0.994645226,1
23904744,2013-07-12,http://121.241.218.70/ASRDb,ASRDb,0.997044563,Archaeal Stress Response Database,0.98826167,ASRDb,0.997044563,1
31592084,2019-08-07,http://122.112.216.104,GCGVD,0.976200461,The Grass Carp Genomic Visualization Database,0.885653893,GCGVD,0.976200461,1
21876203,2011-08-29,http://122.70.220.102/biomarker,UPB,0.950364868,Urinary Protein Biomarker,0.927442985,UPB,0.950364868,1
"30380072, 25399422",2019-01-01,http://123.59.132.21/lncrna2target,LncRNA2Target,0.983380377,,0,LncRNA2Target,0.983380377,2
37908832,2023-10-16,http://124.223.195.214:9188/mfppdb/index,MFPPDB,0.993473052978516,multi-functional plant peptide database,0.810723930597305,MFPPDB,0.993473053,1
38818485,2022-12-11,http://124.239.252.254/danmel,DANMEL,0.997158765792847,,0,DANMEL,0.997158766,1
24918550,2014-06-11,http://128.135.207.10/dbCerEx,dbCerEx,0.99592483,,0,dbCerEx,0.99592483,1
35653350,2022-06-01,http://139.224.212.120:18095,AnthraxKP,0.907631814479828,,0,AnthraxKP,0.907631814,1
34025934,2021-04-19,http://139.59.12.92,MycoTRAP-DB,0.982121785,Mycobacterium tuberculosis Resistance Associated,0.798473769,MycoTRAP-DB,0.982121785,1
26862144,2016-02-08,http://14.139.227.92/mkumar/cragdb,CrAgDb,0.977069199,haperone repertoire in Archaeal,0.644523211,CrAgDb,0.977069199,1
25475113,2014-12-03,http://14.139.227.92/mkumar/lactamasedb,CBMAR,0.971514285,,0,CBMAR,0.971514285,1
28651001,2017-06-26,http://14.139.229.199/PpTFDB/Home.aspx,PpTFDB,0.990379,Pigeonpea Transcription Factors Database,0.94807246,PpTFDB,0.990379,1
28964253,2017-09-30,http://14.139.229.201,RiceMetaSys,0.956623197,,0,RiceMetaSys,0.956623197,1
29897484,2018-01-01,http://14.139.240.55/ildgendb/index.php,ILDgenDB,0.996150136,,0,ILDgenDB,0.996150136,1
33247932,2020-11-01,http://146.118.64.11/BarleyVar,BarleyVarDB,0.997781932,,0,BarleyVarDB,0.997781932,1
21389154,2011-03-09,http://147.8.74.24/16SpathDB,16SpathDB,0.996311396,,0,16SpathDB,0.996311396,1
34025933,2021-04-19,http://159.226.67.237/sun/addictgedb,AddictGene,0.997377753,,0,AddictGene,0.997377753,1
33511767,2021-01-29,http://159.226.67.243:8080/fawmine,FAWMine,0.997773767,Fall Armyworm Genome Database,0.988626023,FAWMine,0.997773767,1
22293322,2012-01-30,http://202.120.189.88/mutdb,G6PD,0.940137466,,0,G6PD,0.940137466,1
21729256,2011-07-05,"http://202.141.47.181/rasond/, http://www.aiims.edu/RAS.html",RASOnD,0.995079184,RAS Oncogene Database,0.942642281,RASOnD,0.995079184,1
22134927,2011-11-30,http://202.38.126.151/hmdd/hubi,hUbiquitome,0.99319154,Really Interesting New Gene,0.800637662,hUbiquitome,0.99319154,1
25988315,2015-05-19,http://202.85.212.211/Account/ImmuSort.html,ImmuSort,0.995690107,,0,ImmuSort,0.995690107,1
