ID,publication_date,extracted_url,best_common,best_common_prob,best_full,best_full_prob,best_name,best_name_prob,article_count,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url
28511181,2017-05-17,http://slsdb.manipal.edu/ocm,1-CMDb,0.992982775,one-carbon metabolism database,0.925644517,1-CMDb,0.992982775,1,,,,
24275494,2013-11-25,http://hsb.upf.edu,,0,1000 Genomes Selection Browser,0.770321417,1000 Genomes Selection Browser,0.770321417,1,,,,
30304689,2018-10-01,http://10kimmunomes.org,10KIP,0.928437392,"10,000 Immunomes Project",0.844234129,10KIP,0.928437392,1,,,,
21389154,2011-03-09,http://147.8.74.24/16SpathDB,16SpathDB,0.996311396,,0,16SpathDB,0.996311396,1,,,,
"33175170, 32102777, 33704069",2021-01-01,http://bigd.big.ac.cn,2019nCoVR,0.997189482,2019 Novel Coronavirus Resource,0.953625798,2019nCoVR,0.997189482,3,,,,
34244700,2021-07-09,http://2dprots.ncbr.muni.cz,2DProts,0.990597233,,0,2DProts,0.990597233,1,,,,
36480578,2022-12-08,http://materialsdb.cn/2dsdb/index.html,2DSdb,0.995554725,semiconductor database,0.909201384,2DSdb,0.995554725,1,,,,
"23203891, 26980515",2012-11-30,http://2p2idb.cnrs-mrs.fr,2P2I,0.99723657,,0,2P2I,0.99723657,2,,,,
27081154,2016-04-14,http://3cdb.big.ac.cn,3CDB,0.995992641,,0,3CDB,0.995992641,1,,,,
40308064,2025-04-29,http://www.3d-gdp.com,3D-GDP,0.995221829,genome,0.578920722,3D-GDP,0.995221829,1,,,,
27694207,2016-10-02,http://nucleus3d.cent.uw.edu.pl/influenza,3DFlu,0.99639225,,0,3DFlu,0.99639225,1,,,,
24526713,2014-02-12,http://3dgd.biosino.org,3DGD,0.996886671,Genome Database,0.968708754,3DGD,0.996886671,1,,,,
24081580,2013-09-29,http://3did.irbbarcelona.org,3did,0.997478525,interacting domains,0.710986495,3did,0.997478525,1,,,,
"33245777, 29106613",2021-01-01,http://3div.kr,3DIV,0.995887399,3D-genome Interaction Viewer and database,0.817636555,3DIV,0.995887399,2,,,,
23293959,2013-03-07,"http://www.genome.jp/kegg/compound/, http://www.3dmet.dna.affrc.go.jp",3DMET,0.974991322,Three-dimensional structure database of natural metabolites,0.861961424,3DMET,0.974991322,1,,,,
"34723317, 27789693",2022-01-01,http://omic.tech/3dsnpv2,3DSNP,0.99662596,,0,3DSNP,0.99662596,2,,,,
35501320,2022-05-02,http://data.4dnucleome.org,4DN,0.968712419,Nucleome,0.617621064,4DN,0.968712419,1,,,,
26490961,2015-10-20,http://combio.pl/5srnadb,5SRNAdb,0.94896158,,0,5SRNAdb,0.94896158,1,,,,
25465051,2014-12-03,http://bioinf.mind.meiji.ac.jp/a-wings,A-WINGS,0.987336159,,0,A-WINGS,0.987336159,1,,,,
33169878,2020-11-10,http://apeswiki.eva.mpg.de,A.P.E.S,0.811360155,,0,A.P.E.S,0.811360155,1,,,,
37797858,2023-10-04,http://acds.neist.res.in/a2idv2,A2ID,0.99742128,Aromatic-Aromatic Interactions Database,0.983424056,A2ID,0.99742128,1,,,,
28779078,2017-08-04,http://www.iictindia.org/A2MDB,A2MDB,0.993841752,Aspergillus Secondary Metabolites Database,0.987300144,A2MDB,0.993841752,1,,,,
35445695,2022-05-01,http://biocomp.chem.uw.edu.pl/A3D2/hproteome,A3D,0.833937526,,0,A3D,0.833937526,1,,,,
37716955,2023-09-16,http://biocomp.chem.uw.edu.pl/A3D2/yeast,A3DyDB,0.98839151,yeast database,0.942084551,A3DyDB,0.98839151,1,,,,
38100461,2023-12-15,http://www.lqlgroup.cn:3838/AAAKB,AAAKB,0.996765316,,0,AAAKB,0.996765316,1,,,,
40402563,2025-05-22,http://i.uestc.edu.cn/AACDB,AACDB,0.986964989,Antigen-Antibody Complex Database,0.927708305,AACDB,0.986964989,1,,,,
37279138,2023-09-01,http://www.acdb.plus/AADB,AADB,0.965810284,Antibiotic Adjuvant DataBase,0.826598577,AADB,0.965810284,1,,,,
"37183442, 27924021, 32162267",2023-05-14,http://biokb.ncpsb.org.cn/aagatlas_portal/index.php,AAgAtlas,0.991741061,Human Autoantigen Atlas,0.694618344,AAgAtlas,0.991741061,3,,,,
38470883,2024-03-01,http://project.iith.ac.in/cgntlab/aagingbase,AagingBase,0.99250412,,0,AagingBase,0.99250412,1,,,,
28977551,2018-01-01,http://bioinfo.wilmer.jhu.edu/AAgMarker,AAgMarker,0.988109291,,0,AAgMarker,0.988109291,1,,,,
24888382,2014-06-03,http://aair.cimed.ike.liu.se,AAIR,0.995133579,Allergic Airway Inflammation Repository,0.976998336,AAIR,0.995133579,1,,,,
37798675,2023-10-05,http://webapp.ufz.de/aamdb,AAMDB,0.995282829,Animal-Associated Metagenome Metadata Database,0.956911061,AAMDB,0.995282829,1,,,,
35771624,2022-08-01,http://web.iitm.ac.in/bioinfo2/ab-cov/home,Ab-CoV,0.996665657,,0,Ab-CoV,0.996665657,1,,,,
39395188,2024-10-01,http://abampdb.mgbio.tech,AbAMPdb,0.996243238,,0,AbAMPdb,0.996243238,1,,,,
"27242034, 32542109",2016-05-30,http://abasy.ccg.unam.mx,Abasy,0.987492204,acteria systems,0.613150299,Abasy,0.987492204,2,,,,
35920330,2023-01-01,http://abc.sklehabc.com,ABC portal,0.674647212,,0,ABC portal,0.674647212,1,,,,
37994699,2024-01-01,http://www.ccb.uni-saarland.de/abc_humi,ABC-HuMi,0.997026086,,0,ABC-HuMi,0.997026086,1,,,,
28365738,2017-01-01,http://abcm2.hegelab.org,ABCMdb,0.99738276,,0,ABCMdb,0.99738276,1,,,,
29156005,2018-01-01,http://bioinfo.imtech.res.in/manojk/abiofilm,aBiofilm,0.9043421,,0,aBiofilm,0.9043421,1,,,,
38844871,2024-01-01,http://naturalantibody.com/ngs,AbNGS,0.994563878,,0,AbNGS,0.994563878,1,,,,
39703430,2024-12-18,http://absd.pasteur.cloud,ABSD,0.994937181,AntiBody Sequence Database,0.982847822,ABSD,0.994937181,1,,,,
39162009,2024-09-01,http://discover.nci.nih.gov/acc_cellminercdb,ACC_CellMinerCDB,0.933717191,,0,ACC_CellMinerCDB,0.933717191,1,,,,
"35708586, 31832668",2022-06-01,http://acetobase.molbio.slu.se,AcetoBase,0.99637115,,0,AcetoBase,0.99637115,2,,,,
32702093,2020-12-01,"http://AciDB.cl, http://gitlab.com/Hawkline451/acidb",AciDB,0.99098736,,0,AciDB,0.99098736,1,,,,
34497528,2021-08-23,http://www.acnpd-fu.com,ACNPD,0.9954561,anti-cancer natural product database,0.887865017,ACNPD,0.9954561,1,,,,
35697698,2022-06-13,http://i.uestc.edu.cn/ACovPepDB,ACovPepDB,0.987743855,,0,ACovPepDB,0.987743855,1,,,,
25229122,2014-10-14,http://www.ats.amherst.edu/protein,ACPro,0.962495983,,0,ACPro,0.962495983,1,,,,
33137193,2021-01-01,http://pacrispr.erc.monash.edu/AcrHub,AcrHub,0.99744314,,0,AcrHub,0.99744314,1,,,,
20949389,2011-01-01,http://acsr.ucsf.edu,ACSR,0.963491698,AIDS and Cancer Specimen Resource,0.931551437,ACSR,0.963491698,1,,,,
22829726,2012-06-16,http://www.actinobase.in,Actinobase,0.993042409,,0,Actinobase,0.993042409,1,,,,
29126202,2018-01-01,http://www.ActiveDriverDB.org,ActiveDriverDB,0.994272113,,0,ActiveDriverDB,0.994272113,1,,,,
29956270,2018-01-01,http://www.molgen.vib-ua.be/FTDmutations,AD&FTD,0.950616956,,0,AD&FTD,0.950616956,1,,,,
35222847,2022-02-10,http://addagma.omicsbio.info,ADDAGMA,0.994934142,domestic animal gut microbiome atlas,0.881645232,ADDAGMA,0.994934142,1,,,,
25392412,2014-11-11,http://www.addgene.org,Addgene Repository,0.828912163,,0,Addgene Repository,0.828912163,1,,,,
34025933,2021-04-19,http://159.226.67.237/sun/addictgedb,AddictGene,0.997377753,,0,AddictGene,0.997377753,1,,,,
31648087,2019-09-11,http://www.rxnfinder.org/additivechem,AdditiveChem,0.995760739,,0,AdditiveChem,0.995760739,1,,,,
33401309,2021-09-01,http://ccsm.uth.edu/ADeditome,ADeditome,0.997124791,,0,ADeditome,0.997124791,1,,,,
37876351,2023-10-24,http://doi.org/10.34894/V0HBJ8,ADEPT,0.99176085,,0,ADEPT,0.99176085,1,,,,
