"ID","publication_date","best_name","best_name_prob","best_common","best_common_prob","best_full","best_full_prob","article_count","extracted_url","extracted_url_status","extracted_url_coordinates","aug_extracted_url_country","wayback_url","affiliation","authors","grant_ids","grant_agencies","num_citations","aug_affiliation_countries"
"37850649",2024-01-01,"AgeAnnoMO",0.998020887,"AgeAnnoMO",0.998020887,"",0,1,"http://relab.xidian.edu.cn/AgeAnnoMO","302","(34.2583,108.9286)","China","None","The Center of Gerontology and Geriatrics and West China Biomedical Big Data Centre, West China Hospital, Sichuan University, Chengdu, Sichuan 610041, PR China.","Huang K, Liu X, Zhang Z, Wang T, Xu H, Li Q, Jia Y, Huang L, Kim P, Zhou X","","NSF, Sichuan University, NIH, NIH, NIGMS NIH HHS, NIH HHS, NCI NIH HHS, NIH, Clinical Research Incubation, NIH, NIAMS NIH HHS, NIGMS NIH HHS, Center of Excellence-International Collaboration Initiative",7,"China, China, China"
"37889051",2024-01-01,"AGIDB",0.997780979,"AGIDB",0.997780979,"",0,1,"http://agidb.pro","HTTPConnectionPool(host='agidb.pro', port=80): Pool is closed.","",NA,"None","Key Laboratory of Agricultural Animal Genetics, Breeding, and Reproduction of the Ministry of Education & Key Laboratory of Swine Genetics and Breeding of the Ministry of Agriculture, Huazhong Agricultural University, WuhanÂ 430070, China.","Zhang K, Liang J, Fu Y, Chu J, Fu L, Wang Y, Li W, Zhou Y, Li J, Yin X, Wang H, Liu X, Mou C, Wang C, Wang H, Dong X, Yan D, Yu M, Zhao S, Li X, Ma Y","","National Key Research and Development Program of China, National Key Research and Development Program of China, Plan for Technology Talent and Platform, Natural Science Foundation of Hubei Province, National Natural Science Foundation of China, China Agriculture Research System of MOF and MARA, Laboratory of Lingnan Modern Agriculture Project, National Natural Science Foundation of China",17,"China"
"37897361",2024-01-01,"AnimalMetaOmics",0.997925917,"AnimalMetaOmics",0.997925917,"Animal Meta-omics landscape database",0.885119428,1,"http://yanglab.hzau.edu.cn/animalmetaomics","403","",NA,"None","College of Life Sciences, Shihezi University, Shihezi, XinjiangÂ 832003, China.","Hu R, Li F, Chen Y, Liu C, Li J, Ma Z, Wang Y, Cui C, Luo C, Zhou P, Ni W, Yang QY, Hu S","","Tianshan Talent Project, The Tird Xinjiang Scientifc Expedition Program, Foundation of state key laboratory of sheep genetic improvement and healthy production, The Tird Xinjiang Scientifc Expedition Program, Foundation of state key laboratory of sheep genetic improvement and healthy production, Foundation of state key laboratory of sheep genetic improvement and healthy production",3,"China"
"37994699",2024-01-01,"ABC-HuMi",0.997026086,"ABC-HuMi",0.997026086,"",0,1,"http://www.ccb.uni-saarland.de/abc_humi","302","(49.3264,7.3387)","Germany","None","Center for Bioinformatics, Saarland University, SaarbrÃ¼cken 66123, Germany.","Hirsch P, Tagirdzhanov A, Kushnareva A, Olkhovskii I, Graf S, Schmartz GP, Hegemann JD, BozhÃ¼yÃ¼k KAJ, MÃ¼ller R, Keller A, Gurevich A","","DFG, Saarland University",14,"Germany"
"38164624",2024-02-16,"AptaDB",0.996735513,"AptaDB",0.996735513,"",0,1,"http://lmmd.ecust.edu.cn/aptadb","302","(31.2222,121.4581)","China","None","Shanghai Frontiers Science Center of Optogenetic Techniques for Cell Metabolism, Shanghai Key Laboratory of New Drug Design, School of Pharmacy, East China University of Science and Technology, Shanghai 200237, China.","Chen L, Yu Z, Wu Z, Zhou M, Wang Y, Yu X, Li W, Liu G, Tang Y","","National Key Research and Development Program of China, National Natural Science Foundation of China, Shanghai Frontiers Science Center of Optogenetic Techniques for Cell Metabolism",4,"China, China"
"38284936",2024-01-01,"AHP DB",0.953907371,"AHP DB",0.953907371,"Aqueous Humor Proteomics Database",0.942185773,1,"http://ahp.augusta.edu","302","(33.4710,-81.9748)","USA","None","Center for Biotechnology and Genomic Medicine, Medical College of Georgia, Augusta University, 1120 15th Street, Augusta, GA 30912, USA.","Lee TJ, Goyal A, Jones G, Glass J, Doshi V, Bollinger K, Ulrich L, Ahmed S, Kodeboyina SK, Estes A, TÃ¶teberg-Harms M, Zhi W, Sharma S, Sharma A","","NIH/NEI, NEI NIH HHS, NEI NIH HHS",2,"United States, United States"
"38289057",2024-01-30,"AGP",0.861773153,"AGP",0.861773153,"ATCC Genome Portal",0.839814484,1,"http://genomes.atcc.org","308","(39.0437,-77.4875)","USA","None","ATCC, University Blvd, Manassas, Virginia, USA.","Nguyen SV, Puthuveetil NP, Petrone JR, Kirkland JL, Gaffney K, Tabron CL, Wax N, Duncan J, King S, Marlow R, Reese AL, Yarmosh DA, McConnell HH, Fernandes AS, Bagnoli J, Benton B, Jacobs JL","","",13,"United States"
"38306039",2024-01-01,"Alzheimer DataLENS",0.923006073,"Alzheimer DataLENS",0.923006073,"",0,1,"http://alzdatalens.partners.org","301","(39.0437,-77.4875)","USA","None","Department of Neurology, Massachusetts General Hospital, Boston, MA, USA.","Noori A, Jayakumar R, Moturi V, Li Z, Liu R, Serrano-Pozo A, Hyman BT, Das S","","NIA NIH HHS",2,"United States"
"38319109",2024-02-06,"Agnodice",0.994411469,"Agnodice",0.994411469,"",0,1,"http://dianalab.e-ce.uth.gr/agnodice","301","(39.3692,22.9477)","Greece","None","DIANA-Lab, Department of Computer Science and Biomedical Informatics, University of Thessaly, Lamia, Greece.","Kotsira V, Skoufos G, Alexiou A, Zioga M, Tastsoglou S, Kardaras FS, Perdikopanis N, Elissavet Z, Gouzouasis V, Charitou T, Hatzigeorgiou AG","","EC | European Regional Development Fund (ERDF), EC | European Regional Development Fund, University of Thessaly",1,"Greece"
"38470883",2024-03-01,"AagingBase",0.99250412,"AagingBase",0.99250412,"",0,1,"http://project.iith.ac.in/cgntlab/aagingbase","301","(17.3840,78.4564)","India","None","Department of Biotechnology, Indian Institute of Technology Hyderabad, Kandi, Telangana 502284, India.","R K, Kumar A, Vinod Kumar K, Sengupta A, Kundal K, Sharma S, Pawar A, Krishna PS, Alfatah M, Ray S, Tiwari B, Kumar R","","",5,"India"
